source_keyframe_id,target_keyframe_id,source_frame_index,target_frame_index,candidate_mode,descriptor_similarity,estimated_candidate_distance_m,estimated_candidate_rotation_deg,global_fitness,global_inlier_rmse_m,refined_fitness,refined_inlier_rmse_m,shared_correspondences,shared_correspondence_ratio,shared_inlier_rmse_m,shared_all_point_rmse_m,odometry_consistency_translation_m,odometry_consistency_rotation_deg,accepted,decision_reason,gt_translation_error_m,gt_rotation_error_deg,posthoc_gt_label,registration_runtime_s
84,120,461,714,descriptor,0.9829841256141663,0.036607241258078835,4.418274094811792,0.9718918918918918,0.027259418678678857,0.9945945945945946,0.02568855204588751,920,0.9945945945945946,0.025688552045887526,0.02660037981482714,0.05050708127289567,0.967506215434144,True,accepted,0.005986175966179599,0.868413233158643,correct,0.029482300000381656
3,29,11,141,descriptor,0.979089617729187,0.024865338403631213,2.6700582967081545,0.9049881235154394,0.025943844434360683,0.9311163895486936,0.021879214707487202,784,0.9311163895486936,0.02187921470748719,0.15407689194621124,0.02026419501944569,0.8688715350259092,False,shared_all_point_rmse>0.12,0.028726613547885447,1.2144687328023989,correct,0.022889199997734977
12,62,57,340,descriptor,0.9773262739181519,0.07464899065580988,3.0237767742753627,0.8831521739130435,0.02919583055304884,0.8831521739130435,0.0266741199914113,975,0.8831521739130435,0.026674119991411335,0.09496482910787099,0.07330923259971839,2.0848330977834806,True,accepted,0.023802590783043708,1.5831079148490412,correct,0.019487199999275617
28,83,137,455,descriptor,0.9769872426986694,0.1146313533486263,2.035459271497411,0.9898107714701602,0.021221615105138855,0.9970887918486172,0.020939926668825725,685,0.9970887918486172,0.020939926668825704,0.021667658005086098,0.05475925890255736,2.8934199329693056,True,accepted,0.022609280836751917,1.3221984462126084,correct,0.012050100001943065
50,105,275,612,descriptor,0.976861298084259,0.10640449112568831,2.820629806390522,0.9921414538310412,0.0274841752040929,0.9911591355599214,0.024015268224702953,1009,0.9911591355599214,0.024015268224702936,0.02541630956876456,0.11987618137784664,3.1855037468245686,False,consistency_translation>0.08,0.01326732457590974,1.0436129967691088,correct,0.016804400002001785
83,96,455,546,descriptor,0.9767783880233765,0.06403212555764416,4.819524120836132,0.9620098039215687,0.027636750826302993,0.9791666666666666,0.023285557158682794,799,0.9791666666666666,0.0232855571586828,0.028278511262166343,0.034382687455017366,0.5208493019250646,True,accepted,0.004062804884476125,0.574873881910422,correct,0.02469560000099591
10,84,49,461,descriptor,0.9761523008346558,0.07062581895940404,2.3185183664216216,0.9706916764361079,0.024237077550965432,0.977725674091442,0.023490397314021343,834,0.977725674091442,0.023490397314021323,0.04570127037907232,0.026902484926833357,2.068851046642241,True,accepted,0.028419064017282197,1.329189722851318,correct,0.0142943999999261
10,90,49,502,descriptor,0.9750549793243408,0.08143348061533771,5.405841356771537,0.9097303634232122,0.02889277280836257,0.9671746776084408,0.023010078705542447,825,0.9671746776084408,0.02301007870554242,0.04683195643058348,0.02407027209103879,1.9307092476213632,True,accepted,0.02326769152637222,1.214793683225692,correct,0.013898799999878975
3,21,11,100,descriptor,0.9748837947845459,0.014799954873743316,2.2005315789537265,0.9809976247030879,0.03161060915464284,0.998812351543943,0.023539260811024268,841,0.998812351543943,0.023539260811024233,0.023725483490681692,0.01732188155315457,1.6414495014275094,True,accepted,0.013953022119659916,0.5923950008575037,correct,0.012907000000268454
8,27,40,133,descriptor,0.9747498035430908,0.056890022018509456,2.7331419430646515,0.9611801242236024,0.025508159374436207,0.9565217391304348,0.02234894819131308,616,0.9565217391304348,0.02234894819131322,0.34468999647809334,0.04013388032416778,1.2905074970209052,False,shared_all_point_rmse>0.12,0.008531887869913553,0.5030692646008195,correct,0.017205799998919247
