source_keyframe_id,target_keyframe_id,source_frame_index,target_frame_index,estimated_pose_distance_m,global_fitness,global_inlier_rmse_m,refined_fitness,refined_inlier_rmse_m,shared_correspondences,shared_correspondence_ratio,shared_inlier_rmse_m,shared_all_point_rmse_m,odometry_consistency_translation_m,odometry_consistency_rotation_deg,accepted_under_same_gates,decision_reason,gt_translation_error_m,gt_rotation_error_deg,posthoc_gt_label,registration_runtime_s,note
57,67,303,362,0.6623582237286092,0.28835063437139563,0.052959012532967295,0.3044982698961938,0.04342145875157236,264,0.3044982698961938,0.04342145875157234,0.5431710625545583,1.397892177020118,133.56880988570103,False,refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,1.3598607377709744,133.7148739090075,incorrect,0.12933870000051684,Hard-negative stress probe; never inserted into pose graph.
37,67,195,362,0.6554479746425602,0.13947696139476962,0.046976913258955824,0.3549190535491905,0.04856011747661809,285,0.3549190535491905,0.04856011747661811,0.2960606941872118,1.8722128075645381,174.8672741767186,False,global_fitness<0.15; refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,1.8568081220111292,174.16274500153136,incorrect,0.18923649999851477,Hard-negative stress probe; never inserted into pose graph.
47,57,249,303,0.5946213686759291,0.12773722627737227,0.04970110623567082,0.09927007299270073,0.04821724511943876,136,0.09927007299270073,0.048217245119438784,0.37518692437936013,4.0706903201274045,128.3086024695253,False,global_fitness<0.15; refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,4.105357726478909,125.08657394123063,incorrect,0.15390950000073644,Hard-negative stress probe; never inserted into pose graph.
37,47,195,249,0.5854910864881548,0.17683686176836863,0.04578756169195415,0.19427148194271482,0.04571223567735048,156,0.19427148194271482,0.04571223567735058,0.3566468784687964,0.6107988806227901,85.70465016713878,False,refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,0.6582968559173021,86.943153652527,incorrect,0.13831299999947078,Hard-negative stress probe; never inserted into pose graph.
67,77,362,417,0.5630073376678644,0.0,0.0,0.2026862026862027,0.03986418525052544,332,0.2026862026862027,0.03986418525052534,0.9641947911413654,0.7571012833040881,5.035611641716638,False,global_fitness<0.15; refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08,0.7466054119351867,3.6225392572264985,incorrect,0.13972840000133147,Hard-negative stress probe; never inserted into pose graph.
37,117,195,694,0.5196085553643985,0.26899128268991285,0.04388185954365509,0.28393524283935245,0.042059365419741944,228,0.28393524283935245,0.04205936541974207,0.22094788052838468,1.247439446367101,84.08073700123204,False,refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,1.2333579796740732,87.17042983040724,incorrect,0.1345313999991049,Hard-negative stress probe; never inserted into pose graph.
34,67,182,362,0.516490290149005,0.13705583756345177,0.04460606834392067,0.33908629441624366,0.03054796754322423,334,0.33908629441624366,0.03054796754322417,0.5785060373885819,0.012634894593408155,4.277967153586105,False,global_fitness<0.15; refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12,0.038522220335011764,1.3988335027265446,correct,0.12780199999906472,Hard-negative stress probe; never inserted into pose graph.
57,117,303,694,0.5129171768305982,0.10380622837370242,0.049256678781864245,0.05997693194925029,0.0453684549177729,52,0.05997693194925029,0.04536845491777313,0.5520213405460047,3.68562148704453,137.2464407915579,False,global_fitness<0.15; refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,3.6237540840696134,134.256321092042,incorrect,0.1382277000011527,Hard-negative stress probe; never inserted into pose graph.
37,101,195,577,0.5025090851374403,0.15940224159402241,0.048070170445751174,0.2602739726027397,0.047567898859330764,209,0.2602739726027397,0.04756789885933073,0.27333407279025984,1.8030142527013506,129.73120553912867,False,refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,1.7957412307102365,132.16127044479478,incorrect,0.14675509999869973,Hard-negative stress probe; never inserted into pose graph.
47,77,249,417,0.5004406705105132,0.17883211678832117,0.04546885233488029,0.18394160583941604,0.043518699462480624,252,0.18394160583941604,0.043518699462480645,1.085328695713101,1.2277419620229255,114.07106605407488,False,refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,1.3051277591515953,109.78257746238913,incorrect,0.15162599999894155,Hard-negative stress probe; never inserted into pose graph.
