frame_index,rgb_timestamp,rgb_path,depth_path,rgb_depth_offset_s,rgb_ground_truth_offset_s,point_count,rgbd_read_runtime_s,preprocessing_runtime_s,registration_runtime_s,compute_runtime_s,input_to_pose_runtime_s,process_rss_bytes_after_frame
0,1305031102.175304,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.175304.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.160407.png,0.014896869659423828,0.0004961490631103516,1286,0.01578449999942677,0.001972800000658026,0.0,0.001972800000658026,0.017757300000084797,71065600
1,1305031102.211214,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.211214.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.226738.png,0.015523910522460938,0.004685878753662109,1294,0.008074999999735155,0.00193319999925734,0.035782900000413065,0.037716099999670405,0.04579109999940556,71065600
2,1305031102.275326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.275326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.262886.png,0.012439966201782227,0.00047397613525390625,1181,0.00871480000023439,0.0019009000006917631,0.01897610000014538,0.020877000000837143,0.029591800001071533,71081984
3,1305031102.311267,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.311267.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.295279.png,0.015987873077392578,0.004533052444458008,1158,0.008795400000963127,0.0016406999984610593,0.015418700000736862,0.01705939999919792,0.02585480000016105,71196672
4,1305031102.343233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.343233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.329195.png,0.0140380859375,0.002566814422607422,1047,0.00849469999957364,0.0016504999985045288,0.00982309999926656,0.011473599997771089,0.01996829999734473,71098368
5,1305031102.375329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.375329.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.363013.png,0.012315988540649414,0.00047087669372558594,1067,0.010317500000383006,0.0017552000008436153,0.008415899999818066,0.010171100000661681,0.020488600001044688,71155712
6,1305031102.411258,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.411258.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.394772.png,0.016485929489135742,0.004642009735107422,1031,0.008288799999718321,0.0016780000005383044,0.006491000000096392,0.008169000000634696,0.016457800000353018,71151616
7,1305031102.443271,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.443271.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.427815.png,0.015455961227416992,0.002529144287109375,1005,0.008380500001294422,0.0015934000002744142,0.009908300000461168,0.011501700000735582,0.019882200002030004,71786496
8,1305031102.475318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.475318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.462395.png,0.012923002243041992,0.0004820823669433594,1017,0.008353999999599182,0.0016178999994735932,0.014075799999773153,0.015693699999246746,0.02404769999884593,71176192
9,1305031102.511219,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.511219.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.526330.png,0.015110969543457031,0.0046808719635009766,930,0.008482199998979922,0.0018813000006048242,0.008258600000772276,0.0101399000013771,0.018622100000357023,71151616
10,1305031102.575286,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.575286.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.562224.png,0.013062000274658203,0.000614166259765625,883,0.008527300000423566,0.0015973999998095678,0.009985900000174297,0.011583299999983865,0.02011060000040743,71278592
11,1305031102.611233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.611233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.626818.png,0.015584945678710938,0.004667043685913086,842,0.008103100000880659,0.001711099999738508,0.012343700000201352,0.01405479999993986,0.02215790000082052,71229440
12,1305031102.675285,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.675285.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.663273.png,0.012012004852294922,0.0006148815155029297,794,0.008486400000037975,0.0015644000013708137,0.003960500000175671,0.005524900001546484,0.014011300001584459,71835648
13,1305031102.711263,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.711263.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.695165.png,0.0160980224609375,0.004637002944946289,779,0.008069499999692198,0.0015353999988292344,0.004903900000499561,0.006439299999328796,0.014508799999020994,71245824
14,1305031102.743234,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.743234.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.728423.png,0.014810800552368164,0.002566099166870117,747,0.008001599999261089,0.0015524000009463634,0.004858899999817368,0.006411300000763731,0.01441290000002482,71172096
