variant,seed,epoch,train_loss,epoch_runtime_s,validation_extraction_s,validation_threshold,validation_precision,validation_recall,validation_f1,validation_recall_at_1,validation_recall_at_5
mobilenetv3_no_se,42,1,0.03239779419412738,68.29041339999822,6.112523499999952,0.9588050246238708,0.11182795698924732,0.14814814814814814,0.12745098039215685,0.28846153846153844,0.4807692307692308
mobilenetv3_no_se,42,2,0.0008028453019888778,63.93362939999861,6.183082000003196,0.9441665410995483,0.19810040705563092,0.20797720797720798,0.2029186935371786,0.34615384615384615,0.5192307692307693
mobilenetv3_no_se,42,3,0.00031617916140117144,64.42147269999987,6.531042999999045,0.9275840520858765,0.15228426395939088,0.21367521367521367,0.17783046828689983,0.40384615384615385,0.5961538461538461
mobilenetv3_no_se,42,4,0.0004021700373605678,61.88574900000094,5.90127190000203,0.8952200412750244,0.18040621266427717,0.2150997150997151,0.19623131903833657,0.4807692307692308,0.6538461538461539
mobilenetv3_no_se,42,5,0.00012135089031959835,61.56392559999949,5.980792500002281,0.8700187802314758,0.2493112947658402,0.25783475783475784,0.2535014005602241,0.5576923076923077,0.6730769230769231
mobilenetv3_se,42,1,0.02107683593701375,62.15403819999847,5.937641100001201,0.7705768942832947,0.4116222760290557,0.4843304843304843,0.4450261780104712,0.5769230769230769,0.7884615384615384
mobilenetv3_se,42,2,0.00010017785978944678,65.29992050000146,6.987178100000165,0.7325068712234497,0.36578707916287534,0.5726495726495726,0.4464186563020544,0.5769230769230769,0.8269230769230769
mobilenetv3_se,42,3,0.00015099410359796725,67.38745049999852,6.4513641000012285,0.7363171577453613,0.3726053639846743,0.5541310541310541,0.44558991981672386,0.6153846153846154,0.8076923076923077
mobilenetv3_se,42,4,0.0002199454527152212,65.76192840000294,6.276443999999174,0.710003137588501,0.3913419913419913,0.6438746438746439,0.4868066774367259,0.6153846153846154,0.8076923076923077
mobilenetv3_se,42,5,9.900949111110286e-05,63.40670029999819,6.329306399999041,0.7216143608093262,0.37624660018132366,0.5911680911680912,0.45983379501385047,0.5384615384615384,0.7115384615384616
