method,seed,keyframes,loop_candidates,accepted_loop_edges,accepted_correct,false_accepts,false_rejects,ate_before_m,ate_after_m,rpe_delta1_translation_m,rpe_delta1_rotation_deg
hsv_histogram,42,125,30,21,20,1,9,0.044337794243966604,0.026370099287834826,0.01444294157314997,1.238726712900063
mobilenetv3_imagenet_frozen,42,125,30,24,24,0,5,0.044337794243984485,0.02620015917517714,0.01444982369863329,1.2400201656740315
mobilenetv3_no_se,42,125,30,20,20,0,10,0.044337794243984485,0.028974887289467816,0.01469204905995774,1.2377677089688837
mobilenetv3_se,42,125,30,19,19,0,11,0.044337794243984485,0.029260039546785223,0.014677125634792109,1.2398757367279698
mobilenetv3_no_se,20260724,125,30,19,18,1,11,0.044337794243984485,0.03137745059837127,0.01463200773330619,1.2326162973909152
mobilenetv3_se,20260724,125,30,16,15,1,14,0.044337794243984485,0.03050405899892886,0.014709019869728328,1.2337055403756387
mobilenetv3_no_se,20260914,125,30,18,17,1,12,0.044337794243984485,0.026543747686473326,0.01465553656494257,1.2333351948428721
mobilenetv3_se,20260914,125,30,17,17,0,12,0.044337794243984485,0.029657940938081658,0.014747682108764862,1.2414185574963206
