source_keyframe_id,target_keyframe_id,source_frame_index,target_frame_index,estimated_pose_distance_m,global_fitness,global_inlier_rmse_m,refined_fitness,refined_inlier_rmse_m,shared_correspondences,shared_correspondence_ratio,shared_inlier_rmse_m,shared_all_point_rmse_m,odometry_consistency_translation_m,odometry_consistency_rotation_deg,accepted_under_same_gates,decision_reason,gt_translation_error_m,gt_rotation_error_deg,posthoc_gt_label,registration_runtime_s,note
57,67,303,362,0.6623582237286326,0.2698961937716263,0.04850910832385371,0.32525951557093424,0.05003557693272909,282,0.32525951557093424,0.050035576932729,0.28486125866215084,4.061545558656095,116.80884811260968,False,refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,4.025661952550827,113.50745139847803,incorrect,0.10036269999909564,Hard-negative stress probe; never inserted into pose graph.
37,67,195,362,0.6554479746425672,0.33997509339975096,0.038311035953981304,0.38854296388542964,0.03906545922567019,312,0.38854296388542964,0.03906545922567014,0.43903650822765095,1.6464906660530856,49.96866464348262,False,refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,1.6443508753810676,48.57679169247054,incorrect,0.10876160000043456,Hard-negative stress probe; never inserted into pose graph.
47,57,249,303,0.5946213686759525,0.0,0.0,0.227007299270073,0.038822928843984576,311,0.227007299270073,0.038822928843984576,0.5928711755312684,0.6920596409465418,25.359459772165177,False,global_fitness<0.15; refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,0.7112364837550321,28.12785735707161,incorrect,0.10662620000221068,Hard-negative stress probe; never inserted into pose graph.
37,47,195,249,0.585491086488163,0.11581569115815692,0.048085132921526594,0.23163138231631383,0.046058933837404656,186,0.23163138231631383,0.046058933837404656,0.3038217056670038,2.94734925437811,118.44528004533919,False,global_fitness<0.15; refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,2.9582146584518196,118.87297636634196,incorrect,0.10915629999726661,Hard-negative stress probe; never inserted into pose graph.
67,77,362,417,0.563007337667908,0.0,0.0,0.2026862026862027,0.03986418525052543,332,0.2026862026862027,0.03986418525052536,0.964194791141366,0.7571012833042233,5.035611641640254,False,global_fitness<0.15; refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08,0.7466054119351864,3.622539257226096,incorrect,0.1170775999999023,Hard-negative stress probe; never inserted into pose graph.
37,117,195,694,0.519608555364329,0.21544209215442092,0.04739448189947686,0.38729763387297633,0.04589381722019903,311,0.38729763387297633,0.04589381722019901,0.20215789063473927,3.675760422204275,112.95276274672706,False,refined_fitness<0.45; refined_inlier_rmse>0.04; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,3.628552076746551,109.65992916302947,incorrect,0.1109059000009438,Hard-negative stress probe; never inserted into pose graph.
34,67,182,362,0.5164902901490097,0.2720812182741117,0.043525703774276295,0.3979695431472081,0.03384818846436252,392,0.3979695431472081,0.03384818846436252,0.5093527023314522,0.1134956140451198,3.9464532391021914,False,refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08,0.08853854285126717,7.076166020461189,incorrect,0.1079823000000033,Hard-negative stress probe; never inserted into pose graph.
57,117,303,694,0.5129171768305478,0.28835063437139563,0.037312735012575114,0.34832756632064593,0.03495718989180603,302,0.34832756632064593,0.034957189891806115,0.6109592927942861,2.0601261454374984,173.21723408955563,False,refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,2.039210413205831,177.58047787634067,incorrect,0.1084417999991274,Hard-negative stress probe; never inserted into pose graph.
37,101,195,577,0.5025090851373908,0.0,0.0,0.41469489414694893,0.039398505666281405,333,0.41469489414694893,0.039398505666281385,0.19028314721877687,0.5693149001372145,22.2800254056624,False,global_fitness<0.15; refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,0.533282195124887,24.21542183346444,incorrect,0.10759129999860306,Hard-negative stress probe; never inserted into pose graph.
47,77,249,417,0.5004406705105556,0.0,0.0,0.23576642335766423,0.0348397356403959,323,0.23576642335766423,0.034839735640395914,0.9619149505906156,0.6070399429577182,31.206365657444916,False,global_fitness<0.15; refined_fitness<0.45; shared_correspondence_ratio<0.45; shared_all_point_rmse>0.12; consistency_translation>0.08; consistency_rotation>15.0,0.6958829454941411,36.16152961848426,incorrect,0.11653110000042943,Hard-negative stress probe; never inserted into pose graph.
