source_keyframe_id,target_keyframe_id,source_frame_index,target_frame_index,candidate_mode,descriptor_similarity,estimated_candidate_distance_m,estimated_candidate_rotation_deg,global_fitness,global_inlier_rmse_m,refined_fitness,refined_inlier_rmse_m,shared_correspondences,shared_correspondence_ratio,shared_inlier_rmse_m,shared_all_point_rmse_m,odometry_consistency_translation_m,odometry_consistency_rotation_deg,accepted,decision_reason,gt_translation_error_m,gt_rotation_error_deg,posthoc_gt_label,registration_runtime_s
4,22,15,104,descriptor,0.9866732954978943,0.024960786097060695,2.1904595741277673,0.9911504424778761,0.02954942719569994,0.9974715549936789,0.022848073376437666,789,0.9974715549936789,0.022848073376437662,0.02320327442430543,0.018413407950897416,1.3705925093249132,True,accepted,0.006347708469623403,0.8511907866591228,correct,0.01331709999794839
37,57,195,303,descriptor,0.984353244304657,0.028925868253297463,4.792536812483108,0.9464508094645081,0.03091082484526881,0.9439601494396015,0.025133209853305964,758,0.9439601494396015,0.025133209853306207,0.04745165193247387,0.06437383308971853,1.149653362662023,True,accepted,0.013396047161717111,1.0999048465435444,correct,0.02359230000001844
3,29,11,141,descriptor,0.9840148091316223,0.024865338403631213,2.6700582967081545,0.9192399049881235,0.025497997670897485,0.9311163895486936,0.02188081892614244,784,0.9311163895486936,0.02188081892614243,0.15407479894447784,0.02024384997333077,0.8686488947250463,False,shared_all_point_rmse>0.12,0.02870877663121372,1.2146532536643944,correct,0.030683199998748023
53,74,286,403,descriptor,0.9828327894210815,0.09912181632198348,5.47575277933433,0.9657142857142857,0.02593249913241417,0.9805714285714285,0.02518766468602017,858,0.9805714285714285,0.025187664686020173,0.041940896040381884,0.08519656694241852,2.760320396175808,False,consistency_translation>0.08,0.005108671324283145,0.5083770643355372,correct,0.02284729999882984
41,53,218,286,descriptor,0.9809049963951111,0.06133738179904039,3.0255078061764085,0.893467336683417,0.02673589302822001,0.9025125628140703,0.02277114135019326,898,0.9025125628140703,0.022771141350193275,0.10085205558292266,0.06236323182172407,1.6522459602873483,True,accepted,0.03173301356049467,1.9006389958437186,correct,0.025601299999834737
14,31,67,151,descriptor,0.9801185131072998,0.04585645434637131,3.3729356623625284,0.9192280200142959,0.028177999959360274,0.9270907791279486,0.026430219946687736,1297,0.9270907791279486,0.02643021994668774,0.12176512368456033,0.0531981852994396,1.4839651157454927,False,shared_all_point_rmse>0.12,0.018560989393925923,0.33714155338193125,correct,0.040812899998854846
41,60,218,332,descriptor,0.9788205027580261,0.0720613638313014,1.7572508082507292,0.9919597989949749,0.02357876070038211,0.9919597989949749,0.02178022425711881,987,0.9919597989949749,0.021780224257118806,0.026895676579515804,0.03918341453862921,1.9211978498365574,True,accepted,0.005684572094568688,0.4068348336349538,correct,0.020792000002984423
83,96,455,546,descriptor,0.9776961803436279,0.06403212555764416,4.819524120836132,0.9595588235294118,0.027308879907368234,0.9791666666666666,0.023265926474898595,799,0.9791666666666666,0.023265926474898602,0.028266022802923237,0.03441535948729562,0.5005497299010147,True,accepted,0.004281649042406455,0.5539852179274048,correct,0.016990600001008715
4,26,15,129,descriptor,0.9767880439758301,0.1344725413314239,5.432792581215134,0.7243994943109987,0.027079371913073833,0.7345132743362832,0.026879185085131718,581,0.7345132743362832,0.026879185085131745,0.3751678296813634,0.025542037707649096,0.885323452396599,False,shared_all_point_rmse>0.12,0.0364140846502543,2.081691854658441,correct,0.012796099999832222
94,110,524,656,descriptor,0.9765849709510803,0.03052064810668487,3.835181350833309,0.9171122994652406,0.025983704629556802,0.9411764705882353,0.022442520095481824,704,0.9411764705882353,0.02244252009548186,0.04061925760725983,0.025465534112412883,1.3121842697741843,True,accepted,0.009584748264881721,1.9604034301026176,correct,0.025657700000010664
29,63,141,345,descriptor,0.9750156402587891,0.0832656420936231,4.599630620072208,0.9832134292565947,0.02432004214452655,0.9940047961630696,0.0211988820665244,829,0.9940047961630696,0.021198882066524642,0.02253887808521906,0.03463594081367122,1.1254586654903733,True,accepted,0.02342157817003531,1.0808396551360246,correct,0.026587000000290573
20,62,97,340,descriptor,0.9737272262573242,0.037588631258999805,2.2842477242392634,0.9262213359920239,0.03384104923719631,0.9312063808574277,0.02208456713382691,934,0.9312063808574277,0.022084567133826935,0.04442789353762383,0.04442100160238132,1.5771933318758748,True,accepted,0.01634198645906087,0.7759565668207078,correct,0.016640300000290154
10,91,49,507,descriptor,0.9729916453361511,0.09424268232485719,4.901763464340935,0.9835873388042204,0.027902697001657043,0.9882766705744431,0.023931038353262855,843,0.9882766705744431,0.023931038353262855,0.027629320858852387,0.02208347233188569,1.9858604599261467,True,accepted,0.02035081779970667,1.298896193330306,correct,0.013620099998661317
0,18,0,89,descriptor,0.9727472066879272,0.011842226222048481,3.1292060568394677,0.9852255054432348,0.026215260936959334,0.9883359253499222,0.024836620092822278,1271,0.9883359253499222,0.02483662009282228,0.027010482641422265,0.022176877812490996,1.697911929156763,True,accepted,0.011788544071634655,2.0097068799284314,correct,0.03286149999985355
0,40,0,213,descriptor,0.9719048738479614,0.1373006420340341,5.620011860800827,0.6555209953343701,0.03534907882815546,0.6788491446345256,0.028620880470694127,873,0.6788491446345256,0.028620880470694096,0.2234082688959588,0.042595077614945825,2.330963584620435,False,shared_all_point_rmse>0.12,0.02339506273567466,0.8133743699046255,correct,0.020607499998732237
1,13,3,61,descriptor,0.9717790484428406,0.057183372139377166,2.073367407869225,0.9671848013816926,0.02959417025358852,0.9766839378238342,0.026010813238996233,1131,0.9766839378238342,0.026010813238996223,0.03412492086537271,0.008944509073248418,1.6727850867035619,True,accepted,0.03966070616418661,1.5623348729494626,correct,0.02102989999912097
28,50,137,275,descriptor,0.9715757369995117,0.14472002935539605,4.677684695926406,0.9898107714701602,0.03224023423366757,0.9970887918486172,0.023609739759492137,685,0.9970887918486172,0.023609739759492133,0.02425434269865434,0.05703350121555546,1.3113070403449298,True,accepted,0.023566534622906334,1.855079302055706,correct,0.013609300000098301
4,83,15,455,descriptor,0.9703412055969238,0.10795648740976278,3.5344170722416757,0.8407079646017699,0.03729730586493879,0.8634639696586599,0.024495870747949997,683,0.8634639696586599,0.024495870747950007,0.21669800084151014,0.0427634277947338,3.287603087107214,False,shared_all_point_rmse>0.12,0.02165316446942701,1.4909476571509828,correct,0.01301910000256612
9,84,45,461,descriptor,0.9701040387153625,0.11953394124256693,2.0511158723647758,0.9245283018867925,0.02538829154388195,0.9743935309973046,0.020893629939343412,723,0.9743935309973046,0.02089362993934341,0.029889872285295885,0.030989540040831993,2.185508090789439,True,accepted,0.021314016069332663,1.4360701413600256,correct,0.02120649999778834
50,104,275,607,descriptor,0.9700198769569397,0.13462907446068023,3.2376308358752306,0.9715127701375246,0.031425349287847196,0.9783889980353635,0.02696648932208181,996,0.9783889980353635,0.02696648932208181,0.029960542970624577,0.11707679701386324,3.2454045797871016,False,consistency_translation>0.08,0.01041417739394403,1.0237295246401585,correct,0.018836600000213366
88,102,493,596,descriptor,0.9694558382034302,0.02146481010476211,3.729033321718472,0.9928352098259979,0.028761982424103914,0.9969293756397134,0.025932157246023307,974,0.9969293756397134,0.025932157246023334,0.026411170235093817,0.04104606417157757,1.5322424947573958,True,accepted,0.008669619006163021,1.3513621695712776,correct,0.018668299999262672
29,89,141,497,descriptor,0.9686633348464966,0.1270234715207648,2.6577919136848407,0.9412470023980816,0.0267148090667118,0.9580335731414868,0.02781497763189164,799,0.9580335731414868,0.027814977631891617,0.035505934588005994,0.06345634669075641,2.4013299224343485,True,accepted,0.01499603333594714,1.3885728926212018,correct,0.013978599999973085
51,71,278,395,descriptor,0.9683102965354919,0.153659112264012,3.724316674368108,0.9463917525773196,0.027138912706668933,0.9701030927835051,0.02659641747409031,941,0.9701030927835051,0.026596417474090334,0.0331023262613611,0.11901524255076812,2.2295698650367055,False,consistency_translation>0.08,0.007762815082601269,0.8870333578060957,correct,0.014960799999244045
10,97,49,552,descriptor,0.9682586193084717,0.08294669672103827,6.203049940145936,0.9894490035169988,0.029464391577318193,0.9929660023446659,0.02346187287362698,847,0.9929660023446659,0.02346187287362692,0.02585382564579147,0.0073569041562389905,2.1780235123996654,True,accepted,0.027171297272693375,1.2642800563936585,correct,0.027288199999020435
96,121,546,719,descriptor,0.9672234058380127,0.07588819756897912,4.511530581172383,0.8895216400911162,0.02873992363675658,0.9191343963553531,0.02419322116448325,807,0.9191343963553531,0.024193221164483223,0.08089386475318291,0.019743482186584276,0.8542889198785912,True,accepted,0.010248836070670403,1.5511943911354042,correct,0.0120150000002468
84,120,461,714,descriptor,0.9668447971343994,0.036607241258078835,4.418274094811792,0.9718918918918918,0.03608363806231134,0.9945945945945946,0.025688552045887394,920,0.9945945945945946,0.025688552045887433,0.026600379814827046,0.0505070812728959,0.9675062154364042,True,accepted,0.005986175966179228,0.8684132331611614,correct,0.028960100000404054
100,118,569,704,descriptor,0.9662797451019287,0.02094704624929701,3.61405033747715,0.949085123309467,0.031015739364818905,0.9466984884645983,0.027198255874762208,1190,0.9466984884645983,0.027198255874762198,0.037827274327913454,0.014799451808503143,0.8351847430334698,True,accepted,0.010167508660413334,1.3108987831462504,correct,0.023064199998771073
9,27,45,133,descriptor,0.9641300439834595,0.04018393776873243,3.345523941138892,0.8032345013477089,0.02464852512242366,0.8274932614555256,0.024917435055816478,614,0.8274932614555256,0.02491743505581646,0.5027419362480617,0.04290009112927206,1.697452689362138,False,shared_all_point_rmse>0.12,0.010806068074551568,1.2323872998679375,correct,0.011751800000638468
93,122,518,726,descriptor,0.9638518691062927,0.08291527205014326,2.856544191326733,0.8817733990147784,0.027870194390681943,0.9113300492610837,0.024718648527014636,740,0.9113300492610837,0.024718648527014622,0.06726957006203939,0.04775569421841088,1.287021965764893,True,accepted,0.009495294326808382,1.1643058758590672,correct,0.010529399998631561
13,42,61,224,descriptor,0.963430643081665,0.09790943712656354,4.734217156198693,0.7242798353909465,0.02556652856932932,0.7300411522633745,0.025140006507411883,887,0.7300411522633745,0.025140006507411883,0.19903171713793089,0.06356739582496311,1.9845939934048467,False,shared_all_point_rmse>0.12,0.016566503223350834,2.3208126915094343,correct,0.021142400000826456
