source_keyframe_id,target_keyframe_id,source_frame_index,target_frame_index,candidate_mode,descriptor_similarity,estimated_candidate_distance_m,estimated_candidate_rotation_deg,global_fitness,global_inlier_rmse_m,refined_fitness,refined_inlier_rmse_m,shared_correspondences,shared_correspondence_ratio,shared_inlier_rmse_m,shared_all_point_rmse_m,odometry_consistency_translation_m,odometry_consistency_rotation_deg,accepted,decision_reason,gt_translation_error_m,gt_rotation_error_deg,posthoc_gt_label,registration_runtime_s
92,106,512,618,pose,N/A,0.0031863190293562275,2.0875976198574944,0.8719646799116998,0.025997545751050254,0.890728476821192,0.024949785450446463,807,0.890728476821192,0.024949785450446457,0.09223648083015666,0.034873913610460605,1.3848671810573656,True,accepted,0.0037978986626444958,0.7223805344120784,correct,0.014479899999059853
86,100,471,569,pose,N/A,0.01067311811772392,7.729598336222189,0.9367631296891747,0.0387204927799141,0.9646302250803859,0.02599775620230252,900,0.9646302250803859,0.025997756202302515,0.03160831707231,0.03310915434290526,1.1920768209995587,True,accepted,0.009901859883405325,0.4030033391809336,correct,0.02790149999964342
0,18,0,89,pose,N/A,0.011842226222048481,3.1292060568394677,0.9844479004665629,0.026820228440428712,0.9883359253499222,0.024836619546824985,1271,0.9883359253499222,0.024836619546824985,0.027010482240760032,0.02217684177082158,1.6979121946697613,True,accepted,0.011788550180477614,2.0097079545477015,correct,0.03138080000098853
3,73,11,400,pose,N/A,0.01207632969764047,5.296326451127348,0.9358669833729216,0.023972559485505033,0.9441805225653207,0.023705975731574302,795,0.9441805225653207,0.023705975731574316,0.11252508962052923,0.053646106322119795,3.367252681683541,True,accepted,0.005626689840683947,2.063555933741577,correct,0.010807299999214592
89,99,497,564,pose,N/A,0.013305024070320512,5.314795705304899,0.9689234184239733,0.029035524407720028,0.9811320754716981,0.02596474499738683,884,0.9811320754716981,0.025964744997387067,0.030203057248947264,0.035639565881347826,0.6040713402593825,True,accepted,0.0156120758312444,0.5136601598860123,correct,0.03014190000067174
99,115,564,678,pose,N/A,0.013545157626541085,1.213713785324465,0.9780775716694773,0.030127103899023105,0.9814502529510961,0.027661456817658973,1164,0.9814502529510961,0.02766145681765894,0.03673898715317686,0.023226892456341956,1.1492780197955148,True,accepted,0.008857532757709565,0.32675202869559167,correct,0.026596300000164774
3,21,11,100,pose,N/A,0.014799954873743316,2.2005315789537265,0.994061757719715,0.030644811274688287,0.998812351543943,0.02353926077511013,841,0.998812351543943,0.02353926077511015,0.023725483456073206,0.017321881590714187,1.6414494851423225,True,accepted,0.013953022245071025,0.5923949849545133,correct,0.013790499999231542
2,62,8,340,pose,N/A,0.0156400798077366,1.8595128515366086,0.9636184857423795,0.033736802626248646,0.9508357915437562,0.02729261778049986,967,0.9508357915437562,0.02729261778049983,0.04271102302308335,0.051631108422187634,1.1363149459737243,True,accepted,0.016521577569399055,1.3187769473285735,correct,0.017428099999960978
102,116,596,684,pose,N/A,0.017342557051056775,3.1977553862205332,0.981998199819982,0.027442577720739502,0.981998199819982,0.0260259942936869,1091,0.981998199819982,0.026025994293686922,0.0406667467701055,0.025055024981542596,1.2593598814412337,True,accepted,0.009928198889284463,1.6212087581401957,correct,0.020245000001523294
99,119,564,709,pose,N/A,0.018368372163028387,1.9425174001774648,0.9747048903878583,0.031517953560046094,0.9932546374367622,0.027111949316869232,1178,0.9932546374367622,0.027111949316869204,0.02808603147754086,0.01845043877312795,0.569001592864019,True,accepted,0.012491689035706256,1.0351069061490492,correct,0.023853000000599422
