frame_index,rgb_timestamp,rgb_path,depth_path,rgb_depth_offset_s,rgb_ground_truth_offset_s,point_count,rgbd_read_runtime_s,preprocessing_runtime_s,registration_runtime_s,compute_runtime_s,input_to_pose_runtime_s,process_rss_bytes_after_frame
0,1305031102.175304,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.175304.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.160407.png,0.014896869659423828,0.0004961490631103516,1286,0.015266299998984323,0.0017619999998714775,0.0,0.0017619999998714775,0.0170282999988558,70950912
1,1305031102.211214,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.211214.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.226738.png,0.015523910522460938,0.004685878753662109,1294,0.007730699999228818,0.0018079000001307577,0.03433029999905557,0.03613819999918633,0.043868899998415145,70836224
2,1305031102.275326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.275326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.262886.png,0.012439966201782227,0.00047397613525390625,1181,0.008680500000991742,0.0021140999997442123,0.01775670000097307,0.01987080000071728,0.028551300001709023,71106560
3,1305031102.311267,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.311267.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.295279.png,0.015987873077392578,0.004533052444458008,1158,0.008770300000833231,0.0017068999986804556,0.016165799999726005,0.01787269999840646,0.02664299999923969,70889472
4,1305031102.343233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.343233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.329195.png,0.0140380859375,0.002566814422607422,1047,0.008536900000763126,0.001568200001202058,0.010959200000797864,0.012527400001999922,0.021064300002763048,71647232
5,1305031102.375329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.375329.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.363013.png,0.012315988540649414,0.00047087669372558594,1067,0.008788700000877725,0.0016985000002023298,0.008569300000090152,0.010267800000292482,0.019056500001170207,71118848
6,1305031102.411258,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.411258.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.394772.png,0.016485929489135742,0.004642009735107422,1031,0.008053599998675054,0.0015657999992981786,0.0060366000016074395,0.007602400000905618,0.015655999999580672,71700480
7,1305031102.443271,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.443271.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.427815.png,0.015455961227416992,0.002529144287109375,1005,0.00799629999892204,0.0017453999989811564,0.009154100000159815,0.010899499999140971,0.018895799998063012,71696384
8,1305031102.475318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.475318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.462395.png,0.012923002243041992,0.0004820823669433594,1017,0.00806900000134192,0.001684999999270076,0.013649599999553175,0.01533459999882325,0.02340360000016517,71757824
9,1305031102.511219,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.511219.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.526330.png,0.015110969543457031,0.0046808719635009766,930,0.007928400000309921,0.0016610000002401648,0.008017899999686051,0.009678899999926216,0.017607300000236137,71733248
10,1305031102.575286,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.575286.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.562224.png,0.013062000274658203,0.000614166259765625,883,0.007924200001070858,0.0016011000006983522,0.009738999999171938,0.01134009999987029,0.019264300000941148,71692288
11,1305031102.611233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.611233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.626818.png,0.015584945678710938,0.004667043685913086,842,0.008126200000333483,0.0016737999994802522,0.011067200000979938,0.01274100000046019,0.020867200000793673,71712768
12,1305031102.675285,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.675285.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.663273.png,0.012012004852294922,0.0006148815155029297,794,0.008434500001385459,0.0015973999998095678,0.003516200000376557,0.005113600000186125,0.013548100001571584,71761920
13,1305031102.711263,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.711263.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.695165.png,0.0160980224609375,0.004637002944946289,779,0.007866500000091037,0.0015853000004426576,0.004547799999272684,0.006133099999715341,0.013999599999806378,71794688
14,1305031102.743234,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.743234.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.728423.png,0.014810800552368164,0.002566099166870117,747,0.007961900000736932,0.0015881999988778261,0.004411699999764096,0.005999899998641922,0.013961799999378854,71839744
15,1305031102.775472,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.775472.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.763549.png,0.011922836303710938,0.00032806396484375,791,0.008304600001793006,0.0017382999994879356,0.004444199999852572,0.006182499999340507,0.014487100001133513,71815168
16,1305031102.811232,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.811232.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.794978.png,0.016254186630249023,0.004667997360229492,765,0.007893600000898005,0.0018364999996265396,0.0047705000015412224,0.006607000001167762,0.014500600002065767,71823360
17,1305031102.84329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.843290.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.828537.png,0.014753103256225586,0.0025098323822021484,698,0.008304099999804748,0.0017203999996127095,0.0035236000003351364,0.005243999999947846,0.013548099999752594,71057408
18,1305031102.875363,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.875363.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.862808.png,0.012555122375488281,0.0004367828369140625,718,0.008352999999260646,0.0016916000004130183,0.004323099999965052,0.00601470000037807,0.014367699999638717,71815168
19,1305031102.911185,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.911185.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.926851.png,0.01566600799560547,0.0047149658203125,679,0.0077562999995279824,0.001671399999395362,0.007752299999992829,0.009423699999388191,0.017179999998916173,71823360
20,1305031102.975203,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.975203.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.962137.png,0.01306605339050293,0.0006968975067138672,649,0.0079939999995986,0.001611199999388191,0.004877899998973589,0.00648909999836178,0.01448309999796038,71200768
21,1305031103.011215,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.011215.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.994164.png,0.017050981521606445,0.004684925079345703,671,0.007794200000716955,0.0017543999983899994,0.004266099998858408,0.0060204999972484075,0.013814699997965363,71315456
22,1305031103.043227,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.043227.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.027881.png,0.015346050262451172,0.0025730133056640625,653,0.007933200000479701,0.0015537999988737283,0.005570600000282866,0.007124399999156594,0.015057599999636295,71319552
23,1305031103.075319,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.075319.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.062273.png,0.013046026229858398,0.00048089027404785156,632,0.008006599999134778,0.0014988000002631452,0.0035731000007217517,0.005071900000984897,0.013078500000119675,71282688
24,1305031103.11124,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.111240.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.094040.png,0.017199993133544922,0.004559993743896484,623,0.00791910000043572,0.001529600000139908,0.0034481000002415385,0.0049777000003814464,0.012896800000817166,71282688
25,1305031103.143318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.143318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.129109.png,0.01420903205871582,0.002582073211669922,623,0.00869070000044303,0.0016751000002841465,0.0031086999988474417,0.004783799999131588,0.013474499999574618,71303168
26,1305031103.175452,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.175452.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.162795.png,0.012656927108764648,0.00034809112548828125,594,0.008539499998732936,0.0017488000012235716,0.006492300000900286,0.008241100002123858,0.016780600000856793,71270400
27,1305031103.243216,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.243216.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.227845.png,0.015371084213256836,0.0025839805603027344,581,0.008323399999426329,0.0016078999997262144,0.004603800000040792,0.006211699999767006,0.014535099999193335,71290880
28,1305031103.27537,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.275370.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.262576.png,0.012793779373168945,0.00043010711669921875,545,0.00888660000055097,0.001634499998544925,0.003995999999460764,0.005630499998005689,0.01451709999855666,71356416
29,1305031103.31121,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.311210.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.294208.png,0.017001867294311523,0.004590034484863281,532,0.01326820000031148,0.0023005000002740417,0.0050914000003103865,0.007391900000584428,0.02066010000089591,71340032
30,1305031103.343223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.343223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.327550.png,0.015673160552978516,0.0026769638061523438,531,0.008866699999998673,0.0017654999992373632,0.004419900000357302,0.006185399999594665,0.015052099999593338,71225344
31,1305031103.375327,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.375327.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.362405.png,0.012922048568725586,0.0005729198455810547,511,0.008064999999987776,0.0015197000011539785,0.0022153999998408835,0.003735100000994862,0.011800100000982638,71315456
32,1305031103.41126,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.411260.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.394162.png,0.017097949981689453,0.004540205001831055,503,0.008166999999957625,0.0015382000001409324,0.0027878000000782777,0.00432600000021921,0.012493000000176835,71335936
33,1305031103.44328,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.443280.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.428437.png,0.014842987060546875,0.0025200843811035156,502,0.008326500001203385,0.0016187999990506796,0.0020619999995687976,0.0036807999986194773,0.012007299999822862,71450624
34,1305031103.475274,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.475274.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.463886.png,0.011388063430786133,0.0006258487701416016,519,0.008641700000225683,0.0016174999982467853,0.0025650000006862683,0.004182499998933054,0.012824199999158736,71487488
