source_keyframe_id,target_keyframe_id,source_frame_index,target_frame_index,candidate_mode,descriptor_similarity,estimated_candidate_distance_m,estimated_candidate_rotation_deg,global_fitness,global_inlier_rmse_m,refined_fitness,refined_inlier_rmse_m,shared_correspondences,shared_correspondence_ratio,shared_inlier_rmse_m,shared_all_point_rmse_m,odometry_consistency_translation_m,odometry_consistency_rotation_deg,accepted,decision_reason,gt_translation_error_m,gt_rotation_error_deg,posthoc_gt_label,registration_runtime_s
41,60,218,332,descriptor,0.9817743897438049,0.0720613638313014,1.7572508082507292,0.9899497487437185,0.02686143014614249,0.9919597989949749,0.021780686041189674,987,0.9919597989949749,0.021780686041189653,0.02689757635335039,0.03916640423242005,1.9222119700935012,True,accepted,0.00573538208471433,0.4052398251365393,correct,0.01518950000172481
12,30,57,146,descriptor,0.979357123374939,0.03431260253517984,2.5055276466085807,0.8161231884057971,0.03389052288489161,0.9329710144927537,0.027700477118496672,1030,0.9329710144927537,0.027700477118496658,0.0394868395318028,0.048068937091890786,1.2197559962139009,True,accepted,0.010585781847838285,0.370563129499353,correct,0.01900469999964116
2,62,8,340,descriptor,0.9767335653305054,0.0156400798077366,1.8595128515366086,0.9410029498525073,0.02770399419570089,0.9508357915437562,0.027292616321866123,967,0.9508357915437562,0.02729261632186612,0.04271101893149036,0.05163108781816154,1.1363139599186671,True,accepted,0.01652157219285043,1.3187758460716292,correct,0.016680700002325466
4,29,15,141,descriptor,0.9726581573486328,0.06756224031147948,3.142152753361412,0.9254108723135271,0.028793992431393894,0.9469026548672567,0.021314746647087,749,0.9469026548672567,0.021314746647086998,0.13224668909160037,0.02025423988330427,0.9098687976906882,False,shared_all_point_rmse>0.12,0.03910692472529618,1.7854218391346446,correct,0.010724600000685314
11,63,53,345,descriptor,0.9723496437072754,0.07934192746267445,6.527684547616997,0.8909090909090909,0.02566960768955718,0.8929292929292929,0.022903456303438895,884,0.8929292929292929,0.022903456303438874,0.0757348738533893,0.08307753673879806,2.035853682608047,False,consistency_translation>0.08,0.02151097736151984,1.2074674980193538,correct,0.01767690000269795
53,73,286,400,descriptor,0.972139835357666,0.14425411147981573,2.860713649910267,0.8834285714285715,0.031216948880511203,0.8811428571428571,0.022577996501402128,771,0.8811428571428571,0.02257799650140227,0.13551115320483695,0.08676802345305701,2.621302672025409,False,shared_all_point_rmse>0.12; consistency_translation>0.08,0.006693764302926992,0.4595456560893678,correct,0.020938699999533128
62,72,340,397,descriptor,0.9717649221420288,0.10826276269931308,3.780579540032193,0.8524762908324552,0.026455777567178318,0.8566912539515279,0.022703696599416835,813,0.8566912539515279,0.02270369659941685,0.20778300382895687,0.08665542935495783,2.243806035026945,False,shared_all_point_rmse>0.12; consistency_translation>0.08,0.023442346361652707,1.5334222715274817,correct,0.012671700002101716
5,26,19,129,descriptor,0.9706639051437378,0.076883566038342,4.902711471521356,0.8306332842415317,0.024202495612081938,0.8321060382916053,0.0248441111670824,565,0.8321060382916053,0.02484411116708242,0.12664330399765106,0.028463127733459683,0.8091661538738218,False,shared_all_point_rmse>0.12,0.026939727345450623,1.6615860136851544,correct,0.007946599998831516
4,23,15,108,descriptor,0.9699001908302307,0.07476258349115542,3.408439735843761,0.9254108723135271,0.029913489555969206,0.9519595448798989,0.02515546384789189,753,0.9519595448798989,0.02515546384789188,0.054370638547958705,0.01821528897101445,1.862209006339564,True,accepted,0.011194568818141404,1.1660103262167087,correct,0.009906999999657273
2,12,8,57,descriptor,0.9692965745925903,0.06493225538751891,2.0417536712271716,0.9852507374631269,0.027659214288643978,0.9882005899705014,0.025964820919018756,1005,0.9882005899705014,0.025964820919018756,0.02827319015554388,0.009390891841202405,1.9530494467440773,True,accepted,0.04630210278029825,2.8108374149023967,correct,0.019802500002697343
2,19,8,93,descriptor,0.9690781831741333,0.04319056444951399,3.3922204978267922,0.9823008849557522,0.02961425098654572,0.9990167158308751,0.022973122300867812,1016,0.9990167158308751,0.022973122300867795,0.023215316667560836,0.015227580967845575,1.901693208386503,True,accepted,0.008224599158738818,0.5073773922575762,correct,0.01770340000075521
39,54,208,289,descriptor,0.9681035876274109,0.07032492326587116,4.756421079975888,0.8182807399347116,0.03189239346342184,0.8694232861806311,0.027170687968533443,799,0.8694232861806311,0.02717068796853344,0.07632544547765151,0.061242397207170854,1.9976786334411412,True,accepted,0.02798616113353034,2.0967788243504564,correct,0.01631450000058976
5,20,19,97,descriptor,0.9670220613479614,0.15662421336032883,3.3820542850455717,0.9985272459499264,0.03275631338529356,0.9970544918998527,0.02042697727872355,677,0.9970544918998527,0.020426977278723554,0.0209878098452479,0.01910964781646278,1.2923804025738532,True,accepted,0.0074936651156693275,1.0219320910241918,correct,0.013544800000090618
