variant,seed,epoch,train_loss,epoch_runtime_s,validation_extraction_s,validation_threshold,validation_precision,validation_recall,validation_f1,validation_recall_at_1,validation_recall_at_5
mobilenetv3_no_se,20260914,1,0.037824347370157115,73.01751650000006,7.14199589999771,0.9566026926040649,0.08614232209737828,0.19658119658119658,0.11979166666666666,0.28846153846153844,0.5192307692307693
mobilenetv3_no_se,20260914,2,0.0009741449826642087,64.29994680000163,6.135915200000454,0.9217973947525024,0.16936251189343482,0.2535612535612536,0.20308043354249858,0.5,0.6153846153846154
mobilenetv3_no_se,20260914,3,0.0004469241064630057,62.284562099997856,6.082417900001019,0.9097123742103577,0.13048707155742634,0.3091168091168091,0.18350951374207186,0.4807692307692308,0.5384615384615384
mobilenetv3_no_se,20260914,4,0.0001562085296762617,62.60965550000037,6.070483300001797,0.8760586977005005,0.14580369843527738,0.292022792022792,0.19449715370018972,0.5,0.6923076923076923
mobilenetv3_no_se,20260914,5,0.00020282102846785595,62.6459145000008,6.093358900001476,0.8430037498474121,0.30602782071097373,0.28205128205128205,0.2935507783543365,0.5384615384615384,0.6538461538461539
mobilenetv3_se,20260914,1,0.019886508780090434,63.00923159999729,6.141761699997005,0.8212916254997253,0.5303030303030303,0.349002849002849,0.4209621993127148,0.5769230769230769,0.8076923076923077
mobilenetv3_se,20260914,2,0.0,62.45844810000199,6.124310100000002,0.7602324485778809,0.42083333333333334,0.43162393162393164,0.42616033755274263,0.6923076923076923,0.8461538461538461
mobilenetv3_se,20260914,3,0.0,62.56215349999911,6.07530670000051,0.7527077794075012,0.4267241379310345,0.4230769230769231,0.4248927038626609,0.6538461538461539,0.8461538461538461
mobilenetv3_se,20260914,4,0.0003384700241057496,62.869002499999624,6.602227200000925,0.7272462844848633,0.3848964677222899,0.45014245014245013,0.41497045305318453,0.6346153846153846,0.7884615384615384
mobilenetv3_se,20260914,5,8.316838035458012e-05,65.94122130000324,6.913589100000536,0.709503710269928,0.37222222222222223,0.4772079772079772,0.418227215980025,0.6153846153846154,0.7884615384615384
