frame_index,rgb_timestamp,rgb_path,depth_path,rgb_depth_offset_s,rgb_ground_truth_offset_s,point_count,rgbd_read_runtime_s,base_preprocessing_runtime_s,normal_estimation_runtime_s,preprocessing_runtime_s,registration_runtime_s,compute_runtime_s,input_to_pose_runtime_s,process_rss_bytes_after_frame
0,1305031102.175304,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.175304.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.160407.png,0.014896869659423828,0.0004961490631103516,1286,0.008785699999862118,0.0019162000007781899,0.004852199999731965,0.006768400000510155,0.0,0.006768400000510155,0.015554100000372273,147771392
1,1305031102.211214,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.211214.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.226738.png,0.015523910522460938,0.004685878753662109,1294,0.009697999999843887,0.0030489999990095384,0.007548900000983849,0.010597899999993388,0.010422299999845563,0.02102019999983895,0.030718199999682838,148983808
2,1305031102.275326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.275326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.262886.png,0.012439966201782227,0.00047397613525390625,1181,0.013595500000519678,0.003662600000097882,0.006707900000037625,0.010370500000135507,0.008517700000084005,0.018888200000219513,0.03248370000073919,149037056
3,1305031102.311267,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.311267.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.295279.png,0.015987873077392578,0.004533052444458008,1158,0.014249699999709264,0.0036291999986133305,0.006082899999455549,0.00971209999806888,0.007676500001252862,0.01738859999932174,0.031638299999031005,149393408
4,1305031102.343233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.343233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.329195.png,0.0140380859375,0.002566814422607422,1047,0.013910600000599516,0.003494299999147188,0.004658500000005006,0.008152799999152194,0.007725199999185861,0.015877999998338055,0.02978859999893757,149413888
5,1305031102.375329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.375329.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.363013.png,0.012315988540649414,0.00047087669372558594,1067,0.013951099999758299,0.003582800000003772,0.0043191000004298985,0.00790190000043367,0.006407800001397845,0.014309700001831516,0.028260800001589814,150081536
6,1305031102.411258,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.411258.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.394772.png,0.016485929489135742,0.004642009735107422,1031,0.013482400001521455,0.0037854000001971144,0.0043276999986119336,0.008113099998809048,0.006252300001506228,0.014365400000315276,0.02784780000183673,150269952
7,1305031102.443271,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.443271.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.427815.png,0.015455961227416992,0.002529144287109375,1005,0.013426299999991897,0.003514099998938036,0.004700600000433042,0.008214699999371078,0.006569899998794426,0.014784599998165504,0.0282108999981574,150274048
8,1305031102.475318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.475318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.462395.png,0.012923002243041992,0.0004820823669433594,1017,0.013421399999060668,0.003853099999105325,0.004463299999770243,0.008316399998875568,0.007623999999850639,0.015940399998726207,0.029361799997786875,150265856
9,1305031102.511219,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.511219.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.526330.png,0.015110969543457031,0.0046808719635009766,930,0.013590500000645989,0.0037092000002303394,0.00427270000000135,0.00798190000023169,0.006336200000077952,0.014318100000309641,0.02790860000095563,150274048
10,1305031102.575286,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.575286.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.562224.png,0.013062000274658203,0.000614166259765625,883,0.013351999999940745,0.0035957000000053085,0.004358799998954055,0.007954499998959363,0.006374300000970834,0.014328799999930197,0.027680799999870942,150282240
11,1305031102.611233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.611233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.626818.png,0.015584945678710938,0.004667043685913086,842,0.01353469999958179,0.0037396000006992836,0.004031000000395579,0.007770600001094863,0.008958000000347965,0.016728600001442828,0.030263300001024618,150282240
12,1305031102.675285,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.675285.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.663273.png,0.012012004852294922,0.0006148815155029297,794,0.014702100001159124,0.003553600001396262,0.004414199998791446,0.007967800000187708,0.006262400000196067,0.014230200000383775,0.0289323000015429,152788992
13,1305031102.711263,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.711263.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.695165.png,0.0160980224609375,0.004637002944946289,779,0.01307700000143086,0.003514599999107304,0.00427769999987504,0.007792299998982344,0.006299500000750413,0.014091799999732757,0.027168800001163618,150921216
14,1305031102.743234,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.743234.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.728423.png,0.014810800552368164,0.002566099166870117,747,0.013319499999852269,0.003537500000675209,0.004071100000146544,0.0076086000008217525,0.005856300000232295,0.013464900001054048,0.026784400000906317,150884352
15,1305031102.775472,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.775472.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.763549.png,0.011922836303710938,0.00032806396484375,791,0.013417599999229424,0.003864300000714138,0.0044226999998500105,0.008287000000564149,0.005902799999603303,0.014189800000167452,0.027607399999396876,150884352
16,1305031102.811232,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.811232.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.794978.png,0.016254186630249023,0.004667997360229492,765,0.01354910000009113,0.0037479000002349494,0.004124799999772222,0.007872700000007171,0.006220799999937299,0.01409349999994447,0.0276426000000356,150884352
17,1305031102.84329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.843290.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.828537.png,0.014753103256225586,0.0025098323822021484,698,0.014102400000410853,0.0036124999987805495,0.004300299999158597,0.007912799997939146,0.006123999999545049,0.014036799997484195,0.028139199997895048,150888448
18,1305031102.875363,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.875363.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.862808.png,0.012555122375488281,0.0004367828369140625,718,0.01366069999858155,0.003696400000990252,0.00410109999938868,0.007797500000378932,0.005824699999720906,0.013622200000099838,0.027282899998681387,150888448
19,1305031102.911185,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.911185.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.926851.png,0.01566600799560547,0.0047149658203125,679,0.013600600001154817,0.003677400000015041,0.004396899999846937,0.008074299999861978,0.00641899999936868,0.014493299999230658,0.028093900000385474,150896640
20,1305031102.975203,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.975203.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.962137.png,0.01306605339050293,0.0006968975067138672,649,0.01563209999949322,0.00432369999907678,0.0041967999986809446,0.008520499997757724,0.0061569999998027924,0.014677499997560517,0.030309599997053738,150896640
21,1305031103.011215,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.011215.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.994164.png,0.017050981521606445,0.004684925079345703,671,0.013533999999708612,0.0036285999995016027,0.004475800000363961,0.008104399999865564,0.005870499999218737,0.0139748999990843,0.027508899998792913,150908928
22,1305031103.043227,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.043227.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.027881.png,0.015346050262451172,0.0025730133056640625,653,0.013608399998702225,0.003725500000655302,0.004111199999897508,0.00783670000055281,0.006043400000635302,0.013880100001188111,0.027488499999890337,150908928
23,1305031103.075319,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.075319.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.062273.png,0.013046026229858398,0.00048089027404785156,632,0.013632199999847217,0.0038159999985509785,0.00444210000023304,0.008258099998784019,0.005821000000651111,0.01407909999943513,0.027711299999282346,150913024
24,1305031103.11124,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.111240.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.094040.png,0.017199993133544922,0.004559993743896484,623,0.013537799999539857,0.0038033000000723405,0.003947299999708775,0.007750599999781116,0.005648299998938455,0.013398899998719571,0.026936699998259428,150913024
25,1305031103.143318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.143318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.129109.png,0.01420903205871582,0.002582073211669922,623,0.013613200000690995,0.0035700000007636845,0.004063100001076236,0.007633100001839921,0.005530000000362634,0.013163100002202555,0.02677630000289355,150913024
26,1305031103.175452,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.175452.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.162795.png,0.012656927108764648,0.00034809112548828125,594,0.013480999999956111,0.0034336000007897383,0.004306200000428362,0.0077398000012181,0.006112799999755225,0.013852600000973325,0.027333600000929437,150913024
27,1305031103.243216,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.243216.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.227845.png,0.015371084213256836,0.0025839805603027344,581,0.01586910000150965,0.0036366999993333593,0.00407190000078117,0.007708600000114529,0.005398300001616008,0.013106900001730537,0.028976000003240188,150913024
28,1305031103.27537,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.275370.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.262576.png,0.012793779373168945,0.00043010711669921875,545,0.01312070000130916,0.0035763999985647388,0.004292899999200017,0.007869299997764756,0.005596799999693758,0.013466099997458514,0.026586799998767674,150917120
29,1305031103.31121,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.311210.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.294208.png,0.017001867294311523,0.004590034484863281,532,0.01345019999826036,0.003682900000057998,0.004132699999900069,0.007815599999958067,0.0052157999998598825,0.01303139999981795,0.02648159999807831,150921216
30,1305031103.343223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.343223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.327550.png,0.015673160552978516,0.0026769638061523438,531,0.01380799999969895,0.0038967000000411645,0.004046800000651274,0.007943500000692438,0.005915399999139481,0.01385889999983192,0.02766689999953087,150921216
31,1305031103.375327,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.375327.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.362405.png,0.012922048568725586,0.0005729198455810547,511,0.013716800000111107,0.0036044999997102423,0.003920900000593974,0.0075254000003042165,0.005508099999133265,0.013033499999437481,0.026750299999548588,150921216
32,1305031103.41126,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.411260.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.394162.png,0.017097949981689453,0.004540205001831055,503,0.013639799999509705,0.0036591000007319963,0.003936099999918952,0.007595200000650948,0.005484700001034071,0.013079900001685019,0.026719700001194724,150921216
33,1305031103.44328,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.443280.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.428437.png,0.014842987060546875,0.0025200843811035156,502,0.01402790000065579,0.00359530000059749,0.003838700000414974,0.007434000001012464,0.005675899999914691,0.013109900000927155,0.027137800001582946,151359488
34,1305031103.475274,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.475274.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.463886.png,0.011388063430786133,0.0006258487701416016,519,0.01357070000085514,0.0036750999988726107,0.003956999998990796,0.007632099997863406,0.005681599999661557,0.013313699997524964,0.026884399998380104,151363584
35,1305031103.511333,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.511333.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.494472.png,0.0168609619140625,0.004667043685913086,525,0.013644999999087304,0.0035910999995394377,0.003724599999259226,0.007315699998798664,0.005320000000210712,0.012635699999009375,0.02628069999809668,151363584
36,1305031103.543444,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.543444.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.531502.png,0.011941909790039062,0.0023560523986816406,536,0.013480000001436565,0.0037248999997245846,0.0038169999988895142,0.007541899998614099,0.005398500001319917,0.012940399999934016,0.02642040000137058,151367680
37,1305031103.575474,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.575474.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.562651.png,0.012823104858398438,0.0004260540008544922,544,0.013478499999109772,0.003627000000051339,0.004056199999467935,0.007683199999519275,0.006016799999997602,0.013699999999516876,0.02717849999862665,151367680
38,1305031103.611223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.611223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.595310.png,0.015913009643554688,0.0046770572662353516,570,0.013455199999953038,0.0036086000000068452,0.003935700000511133,0.007544300000517978,0.005660599999828264,0.013204900000346242,0.02666010000029928,151470080
39,1305031103.643445,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.643445.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.631376.png,0.012068986892700195,0.0023550987243652344,615,0.013614699999379809,0.0037307999991753604,0.004078099998878315,0.0078088999980536755,0.005371300001570489,0.013180199999624165,0.026794899999003974,151539712
40,1305031103.675523,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.675523.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.663594.png,0.011929035186767578,0.0002770423889160156,644,0.01353930000004766,0.0037587000006169546,0.004095000000233995,0.00785370000085095,0.005886299999474431,0.01374000000032538,0.02727930000037304,151539712
41,1305031103.71161,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.711610.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.694695.png,0.016915082931518555,0.004189968109130859,662,0.013960000000224682,0.0036677999996754806,0.004283999998733634,0.007951799998409115,0.005892000001040287,0.013843799999449402,0.027803799999674084,151543808
42,1305031103.743326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.743326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.731542.png,0.011783838272094727,0.002474069595336914,679,0.013661000000865897,0.003744199999346165,0.004003699999884702,0.007747899999230867,0.006334599998808699,0.014082499998039566,0.027743499998905463,151543808
43,1305031103.775342,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.775342.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.762865.png,0.012476921081542969,0.00045800209045410156,734,0.013961799999378854,0.003646500001195818,0.004262599999492522,0.00790910000068834,0.005686299999069888,0.013595399999758229,0.027557199999137083,151543808
44,1305031103.811242,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.811242.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.794329.png,0.016913175582885742,0.0046579837799072266,727,0.014755700000023353,0.003913299999112496,0.004656199998862576,0.008569499997975072,0.0063950999992812285,0.0149645999972563,0.029720299997279653,151543808
45,1305031103.843251,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.843251.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.830367.png,0.012883901596069336,0.0025489330291748047,742,0.014893999999912921,0.003521799999361974,0.004204599999866332,0.007726399999228306,0.006267200000365847,0.013993599999594153,0.028887599999507074,151543808
