method,descriptor_dim,with_se,model_parameters,checkpoint_size_bytes,validation_threshold,validation_f1,validation_recall_at_1,validation_recall_at_5,test_precision,test_recall,test_f1,test_recall_at_1,test_recall_at_5,test_evaluable_queries,inference_scope,inference_mean_ms,inference_median_ms,inference_p95_ms,fps_from_mean,peak_gpu_allocated_bytes
hsv_histogram,512,N/A,N/A,N/A,0.920128345489502,0.17039800995024873,0.46153846153846156,0.5576923076923077,0.7070872593199509,0.5594554547138358,0.624667166455549,0.9290780141843972,0.9432624113475178,141,CPU image read + resize + HSV histogram; one frame,6.9631858040973835,6.93679999676533,7.384950000414392,143.61242513614457,N/A
mobilenetv3_no_se,128,False,539224,2269163,0.7920283079147339,0.3363834422657952,0.5961538461538461,0.7692307692307693,0.4512299144708025,0.9063252454158177,0.6024964215905069,0.9574468085106383,0.9787234042553191,141,model forward only; batch=1; preprocessed tensor already on device,3.2910369998717215,2.8196499988553114,7.074785005534068,303.855593248869,84746240
mobilenetv3_se,128,True,1000864,4126243,0.7909525632858276,0.39489671931956255,0.6346153846153846,0.8461538461538461,0.633369657343504,0.7266623448786812,0.6768162508356155,0.9574468085106383,0.9787234042553191,141,model forward only; batch=1; preprocessed tensor already on device,5.057115000963677,4.263900002115406,8.694859999377513,197.74120220905425,92299264
