variant,epoch,train_loss,epoch_runtime_s,validation_extraction_s,validation_threshold,validation_precision,validation_recall,validation_f1,validation_recall_at_1,validation_recall_at_5
mobilenetv3_no_se,1,0.026220083236694336,62.44925130000047,5.469335100002354,0.9535122513771057,0.0692054192603442,0.25166444740346205,0.10855829982768525,0.2692307692307692,0.4230769230769231
mobilenetv3_no_se,2,0.0007956440560519696,53.95940770000743,5.072522600006778,0.9384090900421143,0.20350291909924936,0.3249001331557923,0.25025641025641027,0.4423076923076923,0.5961538461538461
mobilenetv3_no_se,3,0.0005282496276777238,55.7917970999988,5.337465600008727,0.9167516231536865,0.17397769516728626,0.31158455392809586,0.2232824427480916,0.34615384615384615,0.5192307692307693
mobilenetv3_no_se,4,0.0004841954912990332,55.975891399997636,5.240383799988194,0.8488070964813232,0.223155929038282,0.3182423435419441,0.2623490669593853,0.4423076923076923,0.6730769230769231
mobilenetv3_no_se,5,0.0006316234357655048,53.90316759998677,5.204585600004066,0.7920283079147339,0.25,0.5139813581890812,0.3363834422657952,0.5961538461538461,0.7692307692307693
mobilenetv3_se,1,0.012892207317054271,52.52414090000093,4.859686199997668,0.8130707740783691,0.5150684931506849,0.5006657789613849,0.5077650236326806,0.6346153846153846,0.7692307692307693
mobilenetv3_se,2,0.00032698102295398713,52.23171419999562,4.837713900007657,0.8029175996780396,0.5044510385756676,0.45272969374167776,0.4771929824561404,0.5769230769230769,0.8076923076923077
mobilenetv3_se,3,2.9984535649418832e-05,53.42315130001225,4.895938000001479,0.8137314915657043,0.48870967741935484,0.40346205059920104,0.4420131291028446,0.5961538461538461,0.8076923076923077
mobilenetv3_se,4,6.905901245772839e-05,52.2603431000025,4.923870200000238,0.8053886890411377,0.4111731843575419,0.49001331557922767,0.4471445929526124,0.6153846153846154,0.8461538461538461
mobilenetv3_se,5,7.691057398915291e-05,52.65547440000228,4.958769900011248,0.7909525632858276,0.36312849162011174,0.43275632490013316,0.39489671931956255,0.6346153846153846,0.8461538461538461
