source_keyframe_id,target_keyframe_id,source_frame_index,target_frame_index,candidate_mode,descriptor_similarity,estimated_candidate_distance_m,estimated_candidate_rotation_deg,global_fitness,global_inlier_rmse_m,refined_fitness,refined_inlier_rmse_m,odometry_consistency_translation_m,odometry_consistency_rotation_deg,accepted,decision_reason,gt_translation_error_m,gt_rotation_error_deg,posthoc_gt_label,registration_runtime_s
38,59,201,310,descriptor,0.9777273535728455,0.0251751684723245,3.9559859730054847,0.9215442092154421,0.03545398968366459,0.950186799501868,0.026099770084137743,0.02607648769766587,0.96750686839469,True,accepted,0.01271785339190164,1.2356133605006996,correct,0.010022400005254894
18,32,94,157,descriptor,0.9744771718978882,0.039799789054239025,4.413531473233867,0.8369272237196765,0.03723579331262533,0.8975741239892183,0.029736559800899967,0.01790717853165563,1.0919882227668543,True,accepted,0.0550790111335973,3.55861060305672,incorrect,0.028594400006113574
29,74,146,403,descriptor,0.9709004759788513,0.06046876226757406,5.602225234254719,0.9660804020100503,0.027286753560988013,0.9698492462311558,0.020101324166710757,0.05287910963522624,3.6174301692417266,True,accepted,0.018422921766688218,1.819073354194721,correct,0.010120299994014204
1,63,4,341,descriptor,0.9694923162460327,0.05130674198977048,4.055058884568161,0.8903281519861831,0.03204195327786866,0.9015544041450777,0.026278123614562877,0.04804300000952938,3.521854504211548,True,accepted,0.02562243888664976,1.5262054399163925,correct,0.015690600004745647
12,29,61,146,descriptor,0.9681755900382996,0.09356072625395168,2.819872524779551,0.717391304347826,0.026412403530152177,0.7527173913043478,0.02387373506319071,0.027425482718404375,1.2276981912540943,True,accepted,0.02166942893531496,0.49947828290533025,correct,0.01549249999516178
42,62,224,338,descriptor,0.9676979780197144,0.04879255243850859,1.1880460587879649,0.9708542713567839,0.03409156417994626,0.9919597989949749,0.021415159452004104,0.016649754730611428,0.22384958673937252,True,accepted,0.0061685543962764836,0.5634569013132171,correct,0.014317100009066053
97,111,529,635,descriptor,0.9648317098617554,0.0417715153746387,2.7214449503543436,0.8926701570680629,0.023027148707227222,0.8979057591623036,0.02345971285364415,0.013740881195391443,1.1720554029644354,True,accepted,0.008033638895195618,0.46630607786839773,correct,0.01785530000051949
40,77,214,414,descriptor,0.9626584053039551,0.13384408712695237,5.902881377305497,0.7693144722524483,0.031541493121858076,0.779107725788901,0.027248064148761218,0.022437274306946524,1.2922260878620693,True,accepted,0.02120450359178773,2.5833951546057037,correct,0.012158900004578754
40,56,214,296,descriptor,0.9625334739685059,0.06587511682117833,4.118606597465277,0.8955386289445049,0.0286595283865057,0.9140369967355821,0.026358878823352947,0.038367956830617465,0.7866979342619407,True,accepted,0.02550965118906338,1.6346025209356039,correct,0.013100700001814403
31,43,153,230,descriptor,0.9621579051017761,0.07270003467108246,6.457639931370639,0.8309317963496637,0.029674991159922084,0.851104707012488,0.024820265865639544,0.021521950389056806,2.038219869121305,True,accepted,0.030022781098148436,2.241346708414955,correct,0.013402600001427345
85,99,458,553,descriptor,0.9614209532737732,0.08027621092990239,6.883214701651041,0.9865047233468286,0.023426279257516062,0.9892037786774629,0.022964672075008567,0.010318176704645597,0.7086735723525264,True,accepted,0.009846247799281312,1.1247084693115539,correct,0.020453099990845658
62,83,338,444,descriptor,0.9607763290405273,0.10025191928117626,6.546592156334429,0.7390396659707724,0.028276908091518022,0.7453027139874739,0.025355668853498492,0.03368890860587583,1.8118592659125996,True,accepted,0.01915027019676405,1.2893146026268552,correct,0.010834000000613742
35,58,188,304,descriptor,0.9599066972732544,0.06012583001115065,3.954355296129056,0.8081218274111676,0.030957114765569664,0.8324873096446701,0.02822134809594179,0.022242151269421983,2.1138964227688817,True,accepted,0.010594576075937518,1.589950179138525,correct,0.023240499998792075
3,19,13,98,descriptor,0.9584505558013916,0.09768565618011243,5.2143830826566795,0.9916864608076009,0.0238965414842804,0.995249406175772,0.023189801059057064,0.01648496792915667,1.5466847631484397,True,accepted,0.014773728133062375,1.5900543396880558,correct,0.0140226000075927
111,126,635,745,descriptor,0.9583010673522949,0.05872226941204275,2.5581988988718,0.8466757123473542,0.039154460917734654,0.9525101763907734,0.027775651180148818,0.013371317899144742,1.5030377833428912,True,accepted,0.017319687244374687,1.4906875223615739,correct,0.0089183999953093
5,23,22,114,descriptor,0.9578842520713806,0.017388089373922184,3.9183884193755887,0.9882179675994109,0.028739926764229685,0.9985272459499264,0.023609860233535614,0.018437252891069823,1.9809307653686345,True,accepted,0.010719202525187883,1.2289605738522762,correct,0.009260699996957555
5,26,22,135,descriptor,0.9567525386810303,0.08156131127222867,4.443294866078738,0.8379970544918999,0.025806880679395287,0.8321060382916053,0.02484411117919841,0.023309183185266424,1.574123330443433,True,accepted,0.026939727412607268,1.6615860285576824,correct,0.007458399995812215
8,28,45,143,descriptor,0.9563313722610474,0.10244349310318183,3.49381940144626,0.9782608695652174,0.033654655755039335,0.9891304347826086,0.021216157625634488,0.030929548466054845,1.5529406444662883,True,accepted,0.009966138461612296,0.38743827528486224,correct,0.009684799995739013
0,13,0,66,descriptor,0.955559492111206,0.08769276981903831,3.4020727421613377,0.8374805598755832,0.030657609056369862,0.8359253499222395,0.028164914974189725,0.010294478927960048,1.2648138981738988,True,accepted,0.05364253306953035,1.0110477822929098,incorrect,0.021916800003964454
11,44,57,235,descriptor,0.9547812938690186,0.1575509492646484,5.306636861294255,0.8593272171253823,0.02936006521611652,0.8603465851172273,0.02428123170016064,0.04989132197712886,2.904642420578431,True,accepted,0.021188748976857685,1.853444821393836,correct,0.015268899995135143
85,95,458,518,descriptor,0.9529609680175781,0.06157203689479546,5.179641683016897,0.9851551956815114,0.030627981261773303,0.9946018893387314,0.022224457736434305,0.01477062711665055,0.6685321889487805,True,accepted,0.007908473336963276,1.4828196575645456,correct,0.012032300001010299
43,75,230,406,descriptor,0.9526911973953247,0.11363972316641203,2.1209954477959934,0.9132821075740944,0.030797200331567694,0.9253567508232712,0.026594546310188143,0.040013059023986566,1.4359097381490344,True,accepted,0.01637500275051355,2.7128730262945755,correct,0.01349879999179393
57,81,300,438,descriptor,0.9518809914588928,0.08428034584342546,8.851271055352532,0.7199046483909416,0.0324563067946337,0.7961859356376639,0.025801798643402936,0.04161002301190683,0.8439863467625266,True,accepted,0.026881304400658036,2.7615723703760997,correct,0.008577299988246523
95,125,518,731,descriptor,0.9508790373802185,0.08627935085603278,3.430145176332728,0.7251655629139073,0.026207762644843636,0.7439293598233996,0.026341681710755196,0.02220282079657552,2.263741091091906,True,accepted,0.009236645653675418,0.3050358371320299,correct,0.010959799998090602
23,54,114,289,descriptor,0.9500355124473572,0.20118415133450188,2.416267186882953,0.9513157894736842,0.0226586098175197,0.9592105263157895,0.021842250068142183,0.019204662708658272,2.1516883118123826,True,accepted,0.02067287900269474,1.098565887460979,correct,0.009637499999371357
